intkod,korhaz,korhaz2,lat,lon
N595,N595 - Markusovszky Egyetemi Oktatókórház,Markusovszky Egyetemi Oktatókórház,47.237439,16.620452
K472,K472 - Markusovszky Kórház Zrt.,Markusovszky Kórház Zrt.,47.237439,16.620452
M570,M570 - Mátészalkai Területi Kórház Np. Kft.,Mátészalkai Területi Kórház Np. Kft.,47.95516,22.31742
2899,2899 - Mátrai Gyógyintézet,Mátrai Gyógyintézet,47.867747,19.977082
8002,8002 - MÁV Kórház és Rendelőintézet,MÁV Kórház és Rendelőintézet,46.790567,17.189822
4026,4026 - MAZSIHISZ,MAZSIHISZ,47.517292,19.098943
1484,1484 - Mellkasi Betegségek Szakkórháza,Mellkasi Betegségek Szakkórháza,46.217433,20.235544
K126,K126 - Mezőtúr Városi Kh.-Ri. KFT,Mezőtúr Városi Kh.-Ri. KFT,47.002186,20.629014
N586,N586 - Mezőtúri Kórház és Rendelőintézet,Mezőtúri Kórház és Rendelőintézet,47.002186,20.629014
K403,K403 - MH EK,MH EK,47.530154,19.071106
M094,M094 - MISEK Miskolci S.I.EüKp.Np.Kft,MISEK Miskolci S.I.EüKp.Np.Kft,48.090429,20.72364
N587,N587 - Miskolci Semmelweis Kh. Egyetemi Okt.kh.,Miskolci Semmelweis Kh. Egyetemi Okt.kh.,48.090429,20.72364
M963,M963 - MMSz,MMSz,48.106274,20.679943
1052,1052 - Mohácsi Kórház,Mohácsi Kórház,45.998001,18.681728
1583,1583 - Móri Kórház- Rendelőintézet,Móri Kórház- Rendelőintézet,47.37036,18.213456
N683,N683 - Nagyatádi Kórház,Nagyatádi Kórház,46.232097,17.360784
K795,K795 - NagyatádMed Nonprofit Kft.,NagyatádMed Nonprofit Kft.,46.232097,17.360784
2026,2026 - Nagykőrösi  Rehab. Szakkórház Ri. ,Nagykőrösi  Rehab. Szakkórház Ri. ,47.022162,19.79024
2887,2887 - Nyírő Gyula Kórház - OPAI,Nyírő Gyula Kórház - OPAI,47.527547,19.080242
2903,2903 - OKITI,OKITI,47.518202,19.098233
2897,2897 - OKTPI,OKTPI,47.519528,18.945633
711,0711 - Oltalom Karitatív Egyesület,Oltalom Karitatív Egyesület,47.491036,19.081884
1243,1243 - Orosházi Kórház,Orosházi Kórház,46.55994,20.659349
2906,2906 - Országos Onkológiai Intézet,Országos Onkológiai Intézet,47.499935,19.02181
H505,H505 - Palotahosp Kft.,Palotahosp Kft.,47.202606,18.142969
4588,4588 - Parádfürdői Állami Kórház,Parádfürdői Állami Kórház,47.923646,20.053354
2010,2010 - Pest Megyei Flór Ferenc KH,Pest Megyei Flór Ferenc KH,47.539054,19.253783
2886,2886 - Péterfy S. u. Kh-Ri és Baleseti Kp.,Péterfy S. u. Kh-Ri és Baleseti Kp.,47.501604,19.078566
